ID,Campaign ID,Row_Counter,Name,Target,Status,Developer/Reseacher,Format,Derivation,Discovery platform,Country,Anticipated Next Steps Timing,Descriptions,References,last updated,Name of person who updated the record
1,1,1,REGN-COV2,S protein,Preclinical,Regeneron,mAb cocktail,Humanized mouse; Human,Humanized mouse; single B cell cloning,USA,"Begin human studies in June, 2020",Regeneron have produced hundreds of virus-neutralizing antibodies in our genetically-engineered mice and isolated similarly-performing antibodies from human COVID-19 survivors.,1. https://newsroom.regeneron.com/index.php/news-releases/news-release-details/regeneron-announces-important-advances-novel-covid-19-antibody 2. https://www.biopharma-reporter.com/Article/2020/05/11/Regeneron-devotes-facility-to-COVID-treatment,05/17/2020,B.L
2,2,1,VIR-7831,S protein,Preclinical,Vir biotechnology/WuXi biologicals/Biogen/GSK/Xencor/Samsung Biologics,mAb,Human,single B cell cloning,USA/China/UK/South Korea,"Phase 2 trial in three to five months (July to September, 2020)","VIR-7831 and VIR-7832 are monoclonal antibodies that have demonstrated the ability to neutralize SARS-CoV-2 live virus. The antibody binds to an epitope on SARS-CoV-2 that is shared with SARS-CoV-1 (also known as SARS), indicating that the epitope is highly conserved.VIR-7831 and VIR-7832 are based on the S309 antibody.",1. https://investors.vir.bio/news-releases/news-release-details/vir-biotechnology-proceeding-two-clinical-development-candidates 2. https://investors.vir.bio/news-releases/news-release-details/identification-and-characterization-potential-therapeutic-covid 3. https://www.nature.com/articles/s41586-020-2349-y_reference.pdf,05/18/2020,B.L
3,2,1,VIR-7832,S protein,Preclinical,Vir biotechnology/WuXi biologicals/Biogen/GSK/Xencor/Samsung Biologics,mAb,Human,single B cell cloning,USA/China/UK/South Korea,"Phase 2 trial in three to five months (July to September, 2020)","VIR-7831 and VIR-7832 are monoclonal antibodies that have demonstrated the ability to neutralize SARS-CoV-2 live virus. The antibody binds to an epitope on SARS-CoV-2 that is shared with SARS-CoV-1 (also known as SARS), indicating that the epitope is highly conserved.",1. https://investors.vir.bio/news-releases/news-release-details/vir-biotechnology-proceeding-two-clinical-development-candidates 2. https://investors.vir.bio/news-releases/news-release-details/identification-and-characterization-potential-therapeutic-covid 3. https://www.nature.com/articles/s41586-020-2349-y_reference.pdf,05/17/2020,B.L
4,3,1,JS016,S protein,Preclinical,"Junshi Biosciences/Institute of Microbiology, Chinese Academy of Sciences/Eli Lilly",mAb,Human,single B cell cloning,China/USA,clinical studies in the U.S. in the second quarter of 2020,JS016 is a recombinant fully human monoclonal neutralizing antibody that is specific to the SARS-CoV-2 surface spike protein receptor binding domain and can effectively block the binding of viruses to host cell surface receptor ACE2.,1. http://junshipharma.com/en/News.html 2. https://www.fiercepharma.com/pharma/coronavirus-tracker-hydroxychloroquine-fails-va-study-fda-approves-at-home-sample-collection,05/17/2020,B.L
5,4,1,,S protein,Preclinical,Celltrion/Amgen,mAb or mAb cocktail,Human,,South Korea/USA,"starting human trial in July, 2020","Celltrion has identified the library of antibodies sourced from the blood of recovered patients in Korea, which are thought to be involved in neutralising the virus and may contribute to recovery from COVID-19.",1. https://www.celltrionhealthcare.com/en-us/board/newsdetail?modify_key=174&pagenumber=1&keyword=&keyword_type= 2. https://www.pharmashots.com/30833/celltrion-anticipates-the-initiation-of-its-first-in-human-clinicaltargeting-covid-19-in-july/ 3. https://www.businesswire.com/news/home/20200403005084/en/Celltrion’s-COVID-19-Antiviral-Treatment-Enters-Phase-Development,05/17/2020,B.L
6,5,1,,S protein,Preclinical,AbCellera/Eli Lilly,mAb,Human,single B cell cloning,Canada/USA,clinical trials to begin in July 2020 or earlier,AbCellera has identified over 500 unique fully human antibody sequences from one of the first U.S. patients who recovered from COVID-19,1. https://investor.lilly.com/news-releases/news-release-details/abcellera-and-lilly-co-develop-antibody-therapies-treatment 2. https://www.reuters.com/article/us-health-coronavirus-canada-abcellera/canada-giving-abcellera-biologics-c176-million-for-coronavirus-research-idUSKBN22F0R8,05/17/2020,B.L
7,6,1,,S protein,Preclinical,Tsinghua University/Brii Bio,mAb,Human,single B cell cloning,China/USA,starting human trial in the third quarter of 2020,"Researchers in the laboratories of Professor Linqi Zhang at Tsinghua University and Professor Zheng Zhang at 3rd People’s Hospital of Shenzhen have identified multiple diverse and potent neutralizing monoclonal antibodies with therapeutic potential against SARS CoV-2 that have been characterized from patients in China who have recovered from COVID-19; March 31, 2020: Tsinghua University, 3rd People’s Hospital of Shenzhen and Brii Biosciences (“Brii Bio”) announced a partnership and license agreement to discover, develop, manufacture and commercialize fully human neutralizing monoclonal antibodies to address the global pandemic of COVID-19. Tsinghua, 3rd People’s Hospital of Shenzhen and Brii Bio seek to achieve an accelerated timeline of six months from the selection of a lead development candidate to the first-in-human clinical trials, with the potential for additional timeline acceleration. Tsinghua and collaborators at 3rd People’s Hospital of Shenzhen will provide capabilities and researchers to ensure all necessary testing, screening, virologic, biochemical and cell culture characterizations. Brii Bio will provide development expertise, antibody optimization, intellectual protection, project management, CDMO management, and clinical and regulatory oversight.",1. https://www.briibio.com/news/45.html; Ju et al. Potent human neutralizing antibodies elicited by SARS-CoV-2 infection. https://www.biorxiv.org/content/10.1101/2020.03.21.990770v1.full.pdf,05/17/2020,B.L
8,7,1,,S protein,Preclinical,Shanghai henlius biotech/Sanyou Biopharmaceuticals/Shanghai ZJ Bio-Tech,mAb,Human,Phage display,China,,,1. https://www.reuters.com/article/brief-shanghai-henlius-biotech-says-ente/brief-shanghai-henlius-biotech-says-entered-cooperation-agreement-with-sanyou-biopharmaceuticals-shanghai-zj-bio-tech-idUSFWN2CO0S5,05/17/2020,B.L
8,8,1,,S protein,Preclinical,YUMAB /CORAT consortium,mAb,Human,,Germany,start clinical studies in humans in the 2nd half of 2020,YUMAB built antibody libraries from recovered COVID-19 donors for identification of additional therapeutic candidates.,1. https://www.biospace.com/article/releases/yumab-identifies-promising-candidate-for-covid-19-antibody-therapy/,05/17/2020,B.L
9,9,1,,S protein,Preclinical,Vanderbilt University Medical Center/AstraZeneca,mAb,Human,single B cell cloning,USA/UK/Sweden,,,1. https://news.vumc.org/2020/03/23/researchers-developing-potential-coronavirus-antibody-therapies/,05/17/2020,B.L
